model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
A0_physics_no_arrhenius,4,Km (mM),-0.18086859362800856,1.0824322928640076,0.9173953919597124,35.294117647058826,35.294117647058826
A0_physics_no_arrhenius,4,Kcat (s⁻¹),-0.35287567707916634,3.7194864023019414,2.9158212723491608,17.647058823529413,17.647058823529413
A0_physics_no_arrhenius,4,Vmax (nM s⁻¹),-9.012415403478048,1.6298051197309982,1.3801988402257228,17.647058823529413,29.411764705882355
A1_physics_plus_activity_category,4,Km (mM),0.6904318093994743,0.5542147992489366,0.5079789869699007,23.52941176470588,82.35294117647058
A1_physics_plus_activity_category,4,Kcat (s⁻¹),-0.24064465163226978,3.5618672943637937,2.764677567025576,5.88235294117647,17.647058823529413
A1_physics_plus_activity_category,4,Vmax (nM s⁻¹),-9.53435850814433,1.6717460088579703,1.3774568252534651,5.88235294117647,35.294117647058826
A2_physics_plus_arrhenius,4,Km (mM),0.6007531035509618,0.6293912901739315,0.5941971318875872,11.76470588235294,58.82352941176471
A2_physics_plus_arrhenius,4,Kcat (s⁻¹),-0.2953109122881581,3.639494295992026,2.843562709991799,11.76470588235294,17.647058823529413
A2_physics_plus_arrhenius,4,Vmax (nM s⁻¹),-11.104563911358309,1.792011621442715,1.4808563432093622,11.76470588235294,29.411764705882355
A3_physics_plus_activity_and_arrhenius,4,Km (mM),0.6881523691641664,0.5562514789905312,0.46910848004899686,29.411764705882355,70.58823529411765
A3_physics_plus_activity_and_arrhenius,4,Kcat (s⁻¹),-0.24302230953709825,3.5652787660540226,2.7816456050357474,0.0,17.647058823529413
A3_physics_plus_activity_and_arrhenius,4,Vmax (nM s⁻¹),-9.497080772800786,1.6687854994601903,1.3714792418317512,11.76470588235294,35.294117647058826
M1_raw_independent,5,Km (mM),-0.9684723030350069,1.5688545888453094,1.3242034501037327,5.88235294117647,11.76470588235294
M1_raw_independent,5,Kcat (s⁻¹),0.09027454819184855,3.6838255882605537,3.36891112737067,0.0,0.0
M1_raw_independent,5,Vmax (nM s⁻¹),-1.0849709311823577,4.0728468536076505,3.4182067034098638,5.88235294117647,11.76470588235294
M2_raw_chain,5,Km (mM),-0.9684723030350069,1.5688545888453094,1.3242034501037327,5.88235294117647,11.76470588235294
M2_raw_chain,5,Kcat (s⁻¹),0.11175475253655931,3.640075015595734,3.353539460297445,0.0,0.0
M2_raw_chain,5,Vmax (nM s⁻¹),-1.0316661075829852,4.020446115469963,3.3714130582634514,5.88235294117647,11.76470588235294
M3_physics_independent,5,Km (mM),-0.5154676858008367,1.3765480586629266,1.1292825222004688,11.76470588235294,23.52941176470588
M3_physics_independent,5,Kcat (s⁻¹),-0.1382714045872504,4.120660175625071,3.826399593856967,0.0,0.0
M3_physics_independent,5,Vmax (nM s⁻¹),-0.8939687706421839,3.881811879777752,3.2824525063214622,5.88235294117647,11.76470588235294
M4_full_physics_chain,5,Km (mM),-0.5154676858008367,1.3765480586629266,1.1292825222004688,11.76470588235294,23.52941176470588
M4_full_physics_chain,5,Kcat (s⁻¹),-0.09458412372473113,4.040810275518323,3.7507775849038407,0.0,0.0
M4_full_physics_chain,5,Vmax (nM s⁻¹),-0.9118464585004378,3.9000895896139895,3.2850729333351048,5.88235294117647,11.76470588235294
A0_physics_no_arrhenius,5,Km (mM),-0.7353004680066413,1.4730089310813204,1.25337750149092,5.88235294117647,17.647058823529413
A0_physics_no_arrhenius,5,Kcat (s⁻¹),-0.19377225402420395,4.2199239846328656,3.8654956534184235,0.0,0.0
A0_physics_no_arrhenius,5,Vmax (nM s⁻¹),-0.926623471521679,3.91513283255817,3.3062647265435228,5.88235294117647,11.76470588235294
A1_physics_plus_activity_category,5,Km (mM),-0.10212910519103291,1.1739085717933913,0.9448214268100142,17.647058823529413,41.17647058823529
A1_physics_plus_activity_category,5,Kcat (s⁻¹),-0.041006364612653945,3.940674648228172,3.743937285463084,0.0,0.0
A1_physics_plus_activity_category,5,Vmax (nM s⁻¹),-0.8658344075585014,3.8528724044915235,3.2387823038159467,5.88235294117647,11.76470588235294
A2_physics_plus_arrhenius,5,Km (mM),-0.5154676858008367,1.3765480586629266,1.1292825222004688,11.76470588235294,23.52941176470588
A2_physics_plus_arrhenius,5,Kcat (s⁻¹),-0.09458412372473113,4.040810275518323,3.750777584903841,0.0,0.0
A2_physics_plus_arrhenius,5,Vmax (nM s⁻¹),-0.9118464585004378,3.9000895896139895,3.2850729333351048,5.88235294117647,11.76470588235294
A3_physics_plus_activity_and_arrhenius,5,Km (mM),-0.16686960837243592,1.2078950524338974,0.9495578783910625,17.647058823529413,47.05882352941176
A3_physics_plus_activity_and_arrhenius,5,Kcat (s⁻¹),-0.06790448547865746,3.991260672916032,3.801326183427859,0.0,0.0
A3_physics_plus_activity_and_arrhenius,5,Vmax (nM s⁻¹),-0.8840703183631464,3.8716548313545562,3.254331915092485,11.76470588235294,11.76470588235294
