model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
M2_raw_chain,3,Kcat (s⁻¹),0.20293140562434642,2.845848100392124,2.3427474216575845,11.76470588235294,23.52941176470588
M2_raw_chain,3,Vmax (nM s⁻¹),0.2165401965401864,1.2242270836083728,0.8957368571780353,29.411764705882355,58.82352941176471
M3_physics_independent,3,Km (mM),0.3700229385021214,1.0090041616215712,0.7088939099269534,35.294117647058826,70.58823529411765
M3_physics_independent,3,Kcat (s⁻¹),0.351949908502486,2.566067964386836,1.9776537308076443,11.76470588235294,29.411764705882355
M3_physics_independent,3,Vmax (nM s⁻¹),0.43455017573911225,1.0400414791286403,0.7871260524958336,29.411764705882355,58.82352941176471
M4_full_physics_chain,3,Km (mM),0.3700229385021214,1.0090041616215712,0.7088939099269534,35.294117647058826,70.58823529411765
M4_full_physics_chain,3,Kcat (s⁻¹),0.3487987293676301,2.5722992217664244,2.0227419221050074,11.76470588235294,29.411764705882355
M4_full_physics_chain,3,Vmax (nM s⁻¹),0.42198689942541867,1.051531929385868,0.7618308713533717,35.294117647058826,58.82352941176471
A0_physics_no_arrhenius,3,Km (mM),-0.6873728432593986,1.6513385402375054,1.2770951800472796,11.76470588235294,47.05882352941176
A0_physics_no_arrhenius,3,Kcat (s⁻¹),0.2616348975253273,2.7390467690361184,2.028363324666673,17.647058823529413,35.294117647058826
A0_physics_no_arrhenius,3,Vmax (nM s⁻¹),0.5265469026406014,0.9516825464908026,0.6772547709599579,47.05882352941176,70.58823529411765
A1_physics_plus_activity_category,3,Km (mM),0.4831747057849508,0.9139079801728046,0.6420635281489653,64.70588235294117,64.70588235294117
A1_physics_plus_activity_category,3,Kcat (s⁻¹),0.3788707448787476,2.512203747795518,1.9721374238172227,17.647058823529413,23.52941176470588
A1_physics_plus_activity_category,3,Vmax (nM s⁻¹),0.370672169923171,1.0972158996425894,0.8331014002138474,29.411764705882355,47.05882352941176
A2_physics_plus_arrhenius,3,Km (mM),0.3700229385021214,1.0090041616215712,0.7088939099269534,35.294117647058826,70.58823529411765
A2_physics_plus_arrhenius,3,Kcat (s⁻¹),0.34879872936763,2.5722992217664244,2.0227419221050074,11.76470588235294,29.411764705882355
A2_physics_plus_arrhenius,3,Vmax (nM s⁻¹),0.42198689942541856,1.0515319293858683,0.7618308713533718,35.294117647058826,58.82352941176471
A3_physics_plus_activity_and_arrhenius,3,Km (mM),0.543731066687557,0.8586991617548053,0.5972734430066796,64.70588235294117,64.70588235294117
